antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
fashio_female_clothing,fashion_sport,0.0013774104683195593,0.0027548209366391185,0.0013774104683195593,1.0,363.0,1.0,0.0013736159491230867,inf,0.9986206896551724,0.5,1.0,0.75
fashion_sport,fashio_female_clothing,0.0027548209366391185,0.0013774104683195593,0.0013774104683195593,0.5,363.0,1.0,0.0013736159491230867,1.997245179063361,1.0,0.5,0.4993103448275862,0.75
"auto, fashion_bags_accessories",musical_instruments,0.0013774104683195593,0.009641873278236915,0.0013774104683195593,1.0,103.71428571428571,1.0,0.001364129651131905,inf,0.9917241379310343,0.14285714285714285,1.0,0.5714285714285714
musical_instruments,"auto, fashion_bags_accessories",0.009641873278236915,0.0013774104683195593,0.0013774104683195593,0.14285714285714285,103.71428571428571,1.0,0.001364129651131905,1.1650596877869606,1.0,0.14285714285714285,0.1416748768472906,0.5714285714285714
music,books_technical,0.0027548209366391185,0.005509641873278237,0.0013774104683195593,0.5,90.75,1.0,0.0013622323915336689,1.9889807162534434,0.9917127071823205,0.2,0.49722991689750695,0.375
books_technical,music,0.005509641873278237,0.0027548209366391185,0.0013774104683195593,0.25,90.75,1.0,0.0013622323915336689,1.3296602387511478,0.994459833795014,0.2,0.24792817679558013,0.375
"auto, musical_instruments",fashion_bags_accessories,0.0013774104683195593,0.015151515151515152,0.0013774104683195593,1.0,66.0,1.0,0.0013565406127389599,inf,0.986206896551724,0.09090909090909091,1.0,0.5454545454545454
fashion_childrens_clothes,fashion_bags_accessories,0.0027548209366391185,0.015151515151515152,0.0027548209366391185,1.0,66.0,1.0,0.0027130812254779198,inf,0.9875690607734806,0.18181818181818182,1.0,0.5909090909090909
fashion_bags_accessories,fashion_childrens_clothes,0.015151515151515152,0.0027548209366391185,0.0027548209366391185,0.18181818181818182,66.0,1.0,0.0027130812254779198,1.2188552188552189,1.0,0.18181818181818182,0.17955801104972377,0.5909090909090909
fashion_bags_accessories,"auto, musical_instruments",0.015151515151515152,0.0013774104683195593,0.0013774104683195593,0.09090909090909091,66.0,1.0,0.0013565406127389599,1.0984848484848486,1.0,0.09090909090909091,0.0896551724137931,0.5454545454545454
